Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
CS,12.79,5.09449466,0.62,Buy,2586468,29473200000,7.66421059,1.6277,47860,Finance
CSCO,44.55,-0.31326919,-0.14,Buy,7042304,188183087850,18.1467495,2.4718,77500,Technology Services
CSGP,913.4804,0.90026841,8.1504,Buy,52930,36007661755,121.46700119,7.5087,4337,Technology Services
CSX,89.55,0,0,Neutral,2987365,68462658000,24.90059228,3.6009,21000,Transportation
CTAS,340.83,-2.06034483,-7.17,Sell,265051,35653061250,39.06425396,9.1834,40000,Consumer Services
CTLT,104.94,0.04766899,0.05,Buy,381199,17291643020,66.7069448,1.5946,13900,Health Technology
CTSH,81.395,0.46284868,0.375,Buy,881489,43517104195,29.99518715,2.7023,292500,Technology Services
CTVA,39.2677,0.73807081,0.2877,Buy,1179880,29226977680,47.21986675,0.8288,,Process Industries
CTXS,133.06,0.25617842,0.34,Buy,610113,16389035640,28.51250322,4.7526,8400,Technology Services
CVAC,101.155,-7.06082323,-7.685,Sell,465224,18016323528,,,454,Health Technology
CVNA,270.76,-7.12129528,-20.76,Buy,1496998,19135650038,,-2.7243,7324,Retail Trade
CVS,68.2,1.45789943,0.98,Sell,3322082,89385463900,11.09845295,6.0831,290000,Retail Trade
CVX,86.02,1.96775723,1.66,Sell,5026971,165496548500,,-6.1718,48200,Energy Minerals
CXO,58.49,3.02976924,1.72,Buy,672866,11486201925,,-52.4121,1453,Energy Minerals
CZR,76.54,3.000942,2.23,Buy,702074,15952976815,,-9.7644,15500,Consumer Services
D,74.25,1.02040816,0.75,Sell,1916474,60574560750,,-0.1252,19100,Utilities
DAL,40.26,3.38983051,1.32,Buy,9846947,25700680200,,-16.6005,91000,Transportation
DASH,158.28,0.95031571,1.49,Strong Sell,1544454,50251662108,,,,Technology Services
DB,10.93,2.91902072,0.31,Buy,1533479,22574979450,,-0.64659949,87597,Finance
DBX,24.735,-0.54282268,-0.135,Buy,4280456,10230825301,143.34293948,0.1735,2801,Technology Services
DCUE,98.72,0.72441588,0.71,Sell,14941,79958400000,,,19100,Utilities
DD,69.66,-1.07923885,-0.76,Strong Buy,5620104,51090637000,,-4.0786,35000,Process Industries
DDOG,108.31,-2.48491942,-2.76,Buy,1198334,32983922115,,-0.0242,1403,Technology Services
DE,269.35,0.03342494,0.09,Buy,525481,84384983690,30.9796928,8.7767,69600,Producer Manufacturing
DELL,73.58,1.16870617,0.85,Buy,801179,55170601277,22.92658324,3.2772,165000,Electronic Technology
DEO,158.44,0.32928065,0.52,Buy,195449,92254100000,52.89743418,3.0022,27788,Consumer Non-Durables
DFS,88.31,1.69276831,1.47,Buy,889234,27071933491,26.74056967,3.2547,17200,Finance
DG,212.76,-0.14549209,-0.31,Buy,1028159,52126412760,21.11297179,10.1673,143000,Retail Trade
DGX,121.44,0.1980198,0.24,Sell,511651,16366656870,15.01747082,8.1851,47000,Health Services
DHI,71.05,-1.75608407,-1.27,Sell,1365986,25838965810,11.26813231,6.5011,9716,Consumer Durables
